1991, 21.82
1992, 29.52
1993, 19.56
1994, 31.78
1995, 29.21
1996, 27.99
1997, 28.18
1998, 23.58
1999, 19.38
2000, 17.56
2001, 20.28
2002, 17.89
2003, 30.84
2004, 21.17
2005, 27.24
2006, 30.32
2007, 26.04
2008, 27.93
2009, 23.61
2010, 33.18
2011, 26.93
2012, 22.07
2013, 29.0
2014, 20.96
2015, 33.82
2016, 24.49
2017, 23.23
2018, 16.34
2019, 31.02
2020, 33.48
